Version ID	Index	Master ID	Skeletal code	Skeletal element	Year this sample was first published [for a present-day sample it is this version of the sample. missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Representative contact	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	GroupID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 coverage or published (merged data or consensus if not available)	mt haplogroup published	mt haplogroup published reference	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT (Xcontam interval is listed if lower bound is >0.005, "QUESTIONABLE" if lower bound is 0.01-0.02, "QUESTIONABLE_CRITICAL" or "FAIL" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is "QUESTIONABLE"; <0.9 is "QUESTIONABLE_CRITICAL", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is "QUESTIONABLE_CRITICAL/FAIL" if <0.01, "QUESTIONABLE" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are "QUESTIONABLE_CRITICAL" or "FAIL" if <0.03, "QUESTIONABLE" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))	Anatolian	Yamnaya	Mesolithic_HG	PC1	PC2	PC3	PC4
Sunghir2.SG	6232	Sunghir2	Sunghir2	tooth (premolar) and bone (long bone)	2017	SikoraScience2017	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	34629	555	33833-31486 calBCE (30100±550 BP, OxA-X-2395-6)	Russia_Sunghir2.SG	Sunghir	Russia	56.17611111	40.5025	Shotgun	..	4.623346	1164216	..	M	n/a (no relatives detected)	C1a2	..	U2	U2	(rCRS; Genbank NC_012920.1)	..	..	..	..	..	..	..	-0.012	0.01	None	[0,0.008]	ds.minus	..	PASS (literature)	0.422196625619391	0	0.577803374380609	-44.008571788682	-27.7270591357601	-7.1445802808828	-17.2343078371224
Sunghir3.SG	6233	Sunghir3	Sunghir3	tooth (molar), bone (long bone)	2017	SikoraScience2017	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	34517	555	33685-31328 calBCE (30000±550 BP, OxA-X-2395-7)	Russia_Sunghir3.SG	Sunghir	Russia	56.17611111	40.5025	Shotgun	..	12.034287	1181712	..	M	n/a (no relatives detected)	C1a2	..	U2	U2	(rCRS; Genbank NC_012920.1)	..	..	..	..	..	..	..	-0.016	0.006	None	[0,0]	ds.minus	..	PASS (literature)	0.419609495641935	0	0.580390504358065	-45.8599676848012	-28.1046727130995	-4.16158217035185	-16.8655968698478
Sunghir4.SG	6234	Sunghir4	Sunghir4	bone (long bone)	2017	SikoraScience2017	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	34323	261	32898-31771 calBCE (29820±280 BP, OxA-X-2462-52)	Russia_Sunghir4.SG	Sunghir	Russia	56.17611111	40.5025	Shotgun	..	4.398612	1160873	..	M	n/a (no relatives detected)	C1a2	..	U2	U2	(rCRS; Genbank NC_012920.1)	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.435111783686467	0	0.564888216313533	-44.3175181363335	-26.1493126307271	-10.4971657371136	-18.0236371380843
Muierii2~d	1457	Muierii2	Muierii2	petrous	2016	FuNature2016	Paabo, Svante	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	33646	279	32228-31195 calBCE (29110±190 BP, OxA-16252)	Romania_Muierii	Muierii 2	Romania	45.11	23.46	3.7M	1	0.049	79480	..	F	n/a (no relatives detected)	..	..	U6	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.014	0.022	None	[0,0.057]	ds.half	A5299	PASS	0.568289756579515	0	0.431710243420485	68.785223216285	-5.59860071014697	-0.504192607637043	6.65302304432261
Sunghir1.SG	6231	Sunghir1	Sunghir1	tooth (molar), bone (long bone)	2017	SikoraScience2017	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	33209	613	32326-30080 calBCE (28890±430 BP, OxA-X-2464-12)	Russia_Sunghir1.SG	Sunghir	Russia	56.17611111	40.5025	Shotgun	..	1.280993	809229	..	M	n/a (no relatives detected)	C1a2	..	U8c	U8c	(rCRS; Genbank NC_012920.1)	..	..	..	..	..	..	..	0.031	0.016	None	[0,0.062]	ds.minus	..	PASS (literature)	0.376365014574249	0	0.623634985425751	-11.3449562561476	-32.1865893986351	-4.55090859116337	-7.02121660380004
Paglicci133~published	727	Paglicci133	Paglicci133	tooth	2016	FuNature2016	Krause, Johannes	Context: union of layer dates calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	33150	1126	33150-29250 BCE	Italy_South_HG_Paglicci133_published	Apulia, Paglicci	Italy	41.65	15.61	1240K	2	0.041	75949	..	M	n/a (no relatives detected)	C	..	U8c	..	..	..	..	..	..	..	..	..	0.117	0.026	Very_High_Contamination	[0.066,0.168]	ds.minus	GA252snp,MA160snp	PASS (manual.QC)	0.589452796370396	0	0.410547203629604	76.7521580868094	-2.7018197736645	2.44483167013517	7.53630939812528
Kostenki12	1453	Kostenki12	Kostenki12	bone (cranial)	2016	FuNature2016	Paabo, Svante	Context: Layer date of 31261-30125 calBCE (28500±140 BP, GrA-5552) calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020))	32650	346	31300-30100 BCE	Russia_Kostenki12	Kostenki	Russia	51.23	39.3	3.7M	1	0.03	57519	..	M	n/a (no relatives detected)	C1a2	..	U2	..	..	..	..	..	..	..	..	..	-0.113	0.016	Model_Misspecified	[0,0]	ds.half	A5276	PASS	0.576332540211659	0	0.423667459788341	80.3707036210592	-4.20430564067005	1.07780945147199	7.4244397853019
I1577	1467	I1577	KremsWA3, Burial 2 individual 3	bone (cranial)	2016	FuNature2016	Pinhasi, Ron	Context: Archaeological period	30950	289	29500-28500 BCE	Austria_KremsWA3	Krems-Wachtberg	Austria	48.41	15.59	1240K	2	0.216	222502	..	M	Austria, Krems Family A (I1283-I1284 are identical twins, and these are 3rd degree or more distant relatives of I1577)	IJ	..	U5	..	..	..	..	..	..	..	..	..	0.036	0.023	None	[0,0.081]	ds.half,ds.half	S1577.E1.L2,S1577.E1.L3	PASS	0.452652463101147	0	0.547347536898853	35.3292180660159	-21.0338385010116	10.4228344923984	6.04186054254632
I2484~all	5447	I2484	Krems1-2, Burial 1 individual 2	petrous	..	TeschlerNicolaCommunicationsBiology2020	Pinhasi, Ron	Context: Archaeological period	30850	173	29200-28600 BCE	Austria_Krems1_2_twin.I2483_all	Krems-Wachtberg	Austria	48.41	15.59	1240K	5	0.411	346609	..	M	Austria, Krems Family A (I1283-I1284 are identical twins, and these are 3rd degree or more distant relatives of I1577)	IJ	..	U	..	..	..	..	..	..	0.02767	1.471101912	[0,0.065]	-0.028	0.01	Model_Misspecified	[0,0]	ds.minus,ds.half,ds.half,ds.half,ds.half	S2484.E1.L1,S2484.E1.L2,S2484.E1.L3,S2484.E1.L4,S2484.E1.L5	PASS (mtmatchmax=0.975-1)	0.383357516568538	0	0.616642483431462	-8.66950525205337	-31.1494834040547	7.47404685858818	0.41793879327748
I2483	1674	I2483	Krems1-1, Burial 1 individual 1	petrous	..	TeschlerNicolaCommunicationsBiology2020	Pinhasi, Ron	Context: Archaeological period	30850	173	29200-28600 BCE	Austria_Krems1_1	Krems-Wachtberg	Austria	48.41	15.59	1240K	2	1.772	722470	..	M	Austria, Krems Family A (I1283-I1284 are identical twins, and these are 3rd degree or more distant relatives of I1577)	IJ	..	U	..	..	..	..	..	..	0.012024	2.281724683	[0.002,0.022]	-0.011	0.003	None	[0,0]	ds.minus,ds.minus	S2483.E2.L2,S2483.E2.L1	PASS	0.398398587417551	0	0.601601412582449	-45.8461041545823	-30.6552609733162	3.00174278963648	-10.1547007618713
